table_name,column_name,data_type,is_nullable,column_default,is_primary_key,foreign_table,foreign_column,relationship_type
attribute_definitions,id,uuid,NO,uuid_generate_v4(),YES,null,null,null
attribute_definitions,name,text,NO,null,NO,null,null,null
attribute_definitions,key,text,NO,null,NO,null,null,null
attribute_definitions,industry_type,USER-DEFINED,YES,null,NO,null,null,null
attribute_definitions,category_id,uuid,YES,null,NO,categories,id,ONE-TO-MANY
attribute_definitions,data_type,text,NO,null,NO,null,null,null
attribute_definitions,validation_rules,jsonb,YES,null,NO,null,null,null
attribute_definitions,unit_id,uuid,YES,null,NO,units,id,ONE-TO-MANY
attribute_definitions,is_required,boolean,YES,false,NO,null,null,null
attribute_definitions,display_order,integer,YES,0,NO,null,null,null
attribute_definitions,help_text,text,YES,null,NO,null,null,null
attribute_definitions,created_at,timestamp with time zone,YES,now(),NO,null,null,null
attribute_definitions,tenant_id,uuid,NO,null,NO,null,null,null
attribute_definitions,created_by,uuid,YES,null,NO,null,null,null
attribute_definitions,updated_by,uuid,YES,null,NO,null,null,null
attribute_definitions,is_deleted,boolean,NO,false,NO,null,null,null
attribute_definitions,metadata,jsonb,NO,'{}'::jsonb,NO,null,null,null
attribute_definitions,version,integer,NO,1,NO,null,null,null
attribute_definitions,updated_at,timestamp with time zone,NO,now(),NO,null,null,null
bom_headers,id,uuid,NO,uuid_generate_v4(),YES,null,null,null
bom_headers,product_id,uuid,NO,null,NO,products,id,ONE-TO-MANY
bom_headers,product_id,uuid,NO,null,NO,products,id,ONE-TO-MANY
bom_headers,version,text,NO,'1.0'::text,NO,null,null,null
bom_headers,name,text,YES,null,NO,null,null,null
bom_headers,description,text,YES,null,NO,null,null,null
bom_headers,output_quantity,numeric,NO,1,NO,null,null,null
bom_headers,output_unit_id,uuid,YES,null,NO,units,id,ONE-TO-MANY
bom_headers,is_active,boolean,YES,true,NO,null,null,null
bom_headers,effective_from,date,YES,null,NO,null,null,null
bom_headers,effective_to,date,YES,null,NO,null,null,null
bom_headers,standard_cost,numeric,YES,null,NO,null,null,null
bom_headers,notes,text,YES,null,NO,null,null,null
bom_headers,created_at,timestamp with time zone,YES,now(),NO,null,null,null
